parsha,most relevant words
Yitro,"['חתנ', 'תרו', 'ההר', 'העמ', 'משה', 'שרי', 'סני', 'שפר', 'ירה', 'הרס', 'הצל', 'סקל', 'רד', 'לשא', 'הר', 'רעכ', 'עת', 'עשנ', 'תחד', 'חיל']"
Mishpatim,"['גנב', 'השר', 'יגח', 'בעל', 'או', 'שור', 'שלמ', 'בגפ', 'שנ', 'סקל', 'וכי', 'המת', 'חפש', 'הגש', 'כוה', 'נגח', 'נשב', 'ומת', 'עינ', 'שה']"
Terumah,"['קרש', 'כפת', 'צפת', 'טעת', 'כרב', 'שטמ', 'זהב', 'צלע', 'אמה', 'עצי', 'חבת', 'שזר', 'וחצ', 'אדנ', 'רחב', 'עדמ', 'לפת', 'ארכ', 'רעת', 'חצר']"
Tetzaveh,"['אפד', 'שתי', 'זהב', 'חשנ', 'טעת', 'צנפ', 'ארנ', 'שצת', 'האל', 'תמד', 'הטר', 'ידמ', 'הפר', 'קטת', 'בנט', 'פענ', 'תכת', 'קצת', 'לרנ', 'עתת']"
Ki Tisa,"['לחת', 'משה', 'רקח', 'עגל', 'העמ', 'ההר', 'אהל', 'כתב', 'חנ', 'בשמ', 'דעכ', 'תפד', 'זנו', 'קטת', 'סני', 'פקד', 'פטר', 'ארנ', 'דענ', 'ערפ']"
Vayikra,"['קבנ', 'קטר', 'כהנ', 'הפר', 'זבח', 'אשמ', 'חלב', 'נסח', 'סמכ', 'חטת', 'חטא', 'סרנ', 'שחט', 'נחח', 'שגג', 'סוד', 'קמצ', 'כסל', 'נתח', 'או']"
Tzav,"['מנת', 'זבח', 'משח', 'חלב', 'שוק', 'קטר', 'חזה', 'ארנ', 'משה', 'תקד', 'שחט', 'קבנ', 'קרב', 'חגר', 'הדמ', 'תרת', 'תכב', 'ויז', 'לבש', 'שלמ']"
Shmini,"['פרס', 'נבת', 'טמא', 'שקצ', 'שרצ', 'טאמ', 'שסע', 'גרה', 'למנ', 'יפל', 'החה', 'העפ', 'פסת', 'סנפ', 'קקש', 'ארנ', 'תכל', 'ערב', 'וחק', 'קטר']"
Emor,"['מומ', 'חלל', 'קדש', 'או', 'שתנ', 'טמא', 'קצכ', 'להה', 'חג', 'יגש', 'אשה', 'חדש', 'שרע', 'גרב', 'רגמ', 'קבת', 'עמר', 'בעצ', 'תמד', 'עכת']"
Bamidbar,"['פקד', 'אלפ', 'שפח', 'צבא', 'דגל', 'הלמ', 'בספ', 'מבנ', 'תדת', 'קהת', 'כסו', 'למט', 'חנו', 'אבת', 'מאת', 'חשמ', 'גגת', 'לבת', 'חמש', 'יצא']"
Nasso,"['כבש', 'שקל', 'נזר', 'עתד', 'חמש', 'קבנ', 'קעת', 'זרק', 'בשק', 'לנח', 'כפ', 'איל', 'פקד', 'סלת', 'פר', 'מאה', 'לאמ', 'קטת', 'נטא', 'שפח']"
Beha'alotcha,"['נסע', 'צבא', 'הלמ', 'עננ', 'פסח', 'סעו', 'משה', 'מחנ', 'מרמ', 'דגל', 'תנב', 'תקע', 'חצצ', 'הרח', 'חנו', 'מטה', 'אספ', 'העמ', 'שכנ', 'ללמ']"
Sh'lach,"['שגג', 'למט', 'ההנ', 'לתר', 'צצת', 'עדה', 'נחח', 'כלב', 'ריח', 'נונ', 'עלק', 'משה', 'פגכ', 'וינ', 'עסכ', 'תרו', 'ענק', 'נסח', 'השע', 'תרמ']"
Korach,"['קרח', 'מטה', 'חתת', 'דתנ', 'לוי', 'עדה', 'תפד', 'קטת', 'ארנ', 'משה', 'מתמ', 'אהל', 'מעד', 'עדת', 'מטת', 'כנכ', 'תרת', 'אבר', 'חלב', 'כגע']"
Chukat,"['טמא', 'סחנ', 'נדה', 'סלע', 'רננ', 'מאב', 'פרה', 'נעב', 'במת', 'ההר', 'כבס', 'עזר', 'חשנ', 'קהל', 'באר', 'גבל', 'אספ', 'ארנ', 'תחט', 'חנו']"
Balak,"['בלק', 'בלע', 'מאב', 'נאמ', 'משל', 'לכה', 'קבה', 'עדי', 'בזה', 'ושא', 'שרי', 'בפי', 'אול', 'צפר', 'לאכ', 'ותט', 'גדר', 'זעמ', 'לקב', 'מחז']"
Pinchas,"['שפח', 'כבש', 'נסכ', 'לפר', 'תמד', 'נחת', 'עשנ', 'פקד', 'נחח', 'פרמ', 'אלפ', 'סלת', 'כפט', 'עזר', 'ריח', 'תממ', 'ההנ', 'עלת', 'צפח', 'בספ']"
Devarim,"['רשה', 'סחנ', 'עוג', 'שבמ', 'נחל', 'בשע', 'געד', 'רש', 'תתג', 'כעק', 'רגב', 'רננ', 'אלנ', 'הר', 'זרד', 'רפא', 'חשנ', 'שבו', 'מלכ', 'נעב']"
Vaetchanan,"['חקמ', 'צוכ', 'יטב', 'מתכ', 'תנת', 'קול', 'אלכ', 'פער', 'צאכ', 'פסל', 'רדנ', 'אלנ', 'גוי', 'שכח', 'אנכ', 'כעכ', 'בגא', 'ללד', 'דבכ', 'בזע']"
Eikev,"['לחת', 'בבכ', 'לשד', 'שכח', 'אלכ', 'ברנ', 'שממ', 'בדפ', 'אלי', 'ענכ', 'רשת', 'מצכ', 'בכמ', 'נשע', 'מהר', 'מצה', 'טבה', 'קצפ', 'הגמ', 'הומ']"
Re'eh,"['פרס', 'שעכ', 'בחר', 'נדכ', 'אלכ', 'שמט', 'תכל', 'ידכ', 'הלו', 'בככ', 'פכנ', 'קבכ', 'מצכ', 'חלמ', 'בקמ', 'צנכ', 'בקכ', 'פסח', 'זחכ', 'בחג']"
Shoftim,"['עדמ', 'נבא', 'שטר', 'ילכ', 'זדנ', 'קסמ', 'לכ', 'הרע', 'לבב', 'ערמ', 'אלכ', 'ללח', 'רוכ', 'שפט', 'רצח', 'שנא', 'בשמ', 'קבכ', 'חלל', 'האש']"
Ki Teitzei,"['[ע]', 'עבט', 'נער', 'בתל', 'שנא', 'יבא', 'ארש', 'לאש', 'תתע', 'האמ', 'אבה', 'שכב', 'תוכ', 'חפצ', 'ערו', 'סרר', 'בצמ', 'סיפ', 'עמה', 'בקל']"
Ki Tavo,"['ארר', 'אמנ', 'פרי', 'טנכ', 'שגכ', 'בחס', 'ציק', 'ענג', 'ופר', 'גוי', 'והת', 'שדכ', 'בכ', 'לפכ', 'מצכ', 'עלכ', 'שגר', 'בצק', 'לכ', 'אלכ']"
Vayeilech,"['למד', 'שרה', 'אמצ', 'תרה', 'השע', 'רפכ', 'כתב', 'שמד', 'עזכ', 'סתר', 'שטכ', 'וצו', 'צות', 'לעג', 'עזת', 'סתת', 'בפמ', 'מפי', 'רעת', 'תצב']"
Vayakhel,"['קרש', 'ועש', 'וצפ', 'טעת', 'זהב', 'שטמ', 'עצי', 'כפת', 'כרב', 'עדמ', 'חצר', 'אמה', 'נחש', 'קלע', 'אדנ', 'שזר', 'ללת', 'וחצ', 'חשק', 'לפת']"
Pekudei,"['אפד', 'חצר', 'זהב', 'שזר', 'טעת', 'מסכ', 'שכנ', 'תכת', 'הטר', 'פענ', 'ככר', 'צוה', 'חשנ', 'רגנ', 'שצת', 'מעד', 'שתי', 'אהל', 'שול', 'משה']"
Tazria,"['נגע', 'פשה', 'נתק', 'צעת', 'כהנ', 'טמא', 'או', 'בער', 'עמק', 'סגר', 'ראה', 'גחת', 'טהר', 'כהה', 'הער', 'צהב', 'השת', 'ספח', 'מרא', 'כבס']"
Metzora,"['מנת', 'טמא', 'הזב', 'הבת', 'כבס', 'כהנ', 'מטר', 'צפר', 'מזב', 'נגע', 'רחצ', 'ארז', 'נדת', 'החה', 'בממ', 'שכב', 'צעת', 'בהנ', 'ערב', 'טאת']"
Achrei Mot,"['תגל', 'ערת', 'עזז', 'הגר', 'כפר', 'גרל', 'כפת', 'בד', 'אמכ', 'שער', 'גלת', 'בעד', 'טאת', 'דמו', 'דמ', 'לבש', 'רחצ', 'כבס', 'חטת', 'מעד']"
Kedoshim,"['גלה', 'ערת', 'נאפ', 'ואש', 'זמה', 'אני', 'שכב', 'דממ', 'תפנ', 'פרו', 'צדק', 'ערר', 'כלא', 'זנת', 'לטא', 'אבו', 'פאת', 'מתו', 'עול', 'מות']"
Behar,"['מכר', 'גאל', 'חזת', 'הבל', 'גלת', 'מוכ', 'תבת', 'ובל', 'בבל', 'תזר', 'צתת', 'שגה', 'גלנ', 'שנת', 'חמה', 'עמכ', 'ישנ', 'וער', 'כשכ', 'דדו']"
Bechukotai,"['עככ', 'גאל', 'שקל', 'ואפ', 'ערכ', 'קרי', 'משד', 'הבל', 'ואמ', 'חרב', 'רדפ', 'בכמ', 'חטכ', 'חזת', 'לרק', 'געל', 'מקו', 'מיר', 'המר', 'שדה']"
Matot,"['אסר', 'אלפ', 'נדר', 'עזר', 'חלצ', 'לצב', 'צבא', 'הנא', 'בזז', 'משה', 'גד', 'ששה', 'געד', 'כסמ', 'עטת', 'מדנ', 'הרג', 'שרי', 'סלח', 'טפנ']"
Masei,"['חנו', 'סעו', 'רצח', 'קלט', 'גבל', 'תצת', 'מטה', 'ערמ', 'למט', 'תנה', 'גאל', 'ללמ', 'ממט', 'נחת', 'צפח', 'ימ', 'עצנ', 'פאת', 'הדמ', 'רדנ']"
Nitzavim,"['בבכ', 'בחמ', 'בפר', 'מצכ', 'הומ', 'דחכ', 'בספ', 'הגמ', 'כתב', 'בכמ', 'קלל', 'החמ', 'באפ', 'קצכ', 'נענ', 'אלכ', 'שטכ', 'אלת', 'קחה', 'לטב']"
