parsha,most relevant words
Sh'lach,"['spy', 'error', 'tribe', 'congregation', 'caleb', 'spied', 'hin', 'amalekite', 'forgiven', 'moses', 'anak', 'wilderness', 'jephunneh', 'savour', 'nun', 'drinkoffering', 'sojourneth', 'we', 'cluster', 'floweth']"
Korach,"['korah', 'rods', 'firepan', 'dathan', 'abiram', 'rod', 'gift', 'aaron', 'congregation', 'theirs', 'tithe', 'moses', 'apart', 'service', 'incense', 'levi', 'meeting', 'company', 'firepans', 'inheritance']"
Chukat,"['unclean', 'sihon', 'sprinkling', 'amorites', 'arnon', 'heifer', 'hor', 'moab', 'edom', 'border', 'heshbon', 'purify', 'rock', 'toucheth', 'we', 'highway', 'fought', 'aaron', 'serpent', 'eleazar']"
Balak,"['balak', 'balaam', 'parable', 'moab', 'zippor', 'ass', 'curse', 'angel', 'princes', 'promote', 'balaams', 'said', 'opened', 'utmost', 'altars', 'honour', 'here', 'jacob', 'peradventure', 'fence']"
Pinchas,"['family', 'continual', 'families', 'bullocks', 'mealoffering', 'drinkofferings', 'numbered', 'helambs', 'burntoffering', 'hegoat', 'lambs', 'drinkoffering', 'tenth', 'rams', 'parts', 'blemish', 'ram', 'several', 'servile', 'thousand']"
Devarim,"['hillcountry', 'bashan', 'seir', 'amorites', 'sihon', 'esau', 'cities', 'rephaim', 'valley', 'og', 'we', 'arabah', 'ammon', 'heshbon', 'anakim', 'contend', 'arnon', 'gilead', 'us', 'possession']"
Vaetchanan,"['likeness', 'statutes', 'thy', 'ordinances', 'jordan', 'possess', 'testimonies', 'thee', 'god', 'commandments', 'voice', 'form', 'hear', 'graven', 'forget', 'teach', 'might', 'heaven', 'our', 'manservant']"
Eikev,"['tables', 'nights', 'thy', 'thee', 'perish', 'quickly', 'possess', 'forty', 'love', 'mount', 'swore', 'stiffnecked', 'rain', 'forget', 'commandments', 'drive', 'chasteneth', 'brooks', 'gudgod', 'dispossess']"
Re'eh,"['choose', 'thy', 'gates', 'levite', 'thee', 'needy', 'gazelle', 'hart', 'rejoice', 'release', 'hoof', 'eat', 'cud', 'within', 'herd', 'passoveroffering', 'god', 'flock', 'gods', 'feast']"
Shoftim,"['witnesses', 'stroke', 'giveth', 'prophet', 'thee', 'presumptuously', 'cities', 'battle', 'sentence', 'controversy', 'thy', 'witness', 'gates', 'city', 'judges', 'abominations', 'manslayer', 'innocent', 'heifer', 'inheritance']"
Ki Teitzei,"['damsel', 'her', 'interest', 'tokens', 'pledge', 'virginity', 'lend', 'wife', 'brothers', 'enter', 'beloved', 'wanton', 'betrothed', 'husbands', 'thy', 'city', 'husband', 'thee', 'damsels', 'elders']"
Ki Tavo,"['amen', 'cursed', 'fruit', 'thee', 'thy', 'commandments', 'plaster', 'siege', 'straitness', 'straiten', 'ways', 'thine', 'basket', 'lieth', 'gates', 'voice', 'destroyed', 'nation', 'tithing', 'avouched']"
Vayeilech,"['forsake', 'song', 'courage', 'evils', 'troubles', 'mouths', 'joshua', 'witness', 'learn', 'law', 'strong', 'fail', 'assemble', 'moses', 'finished', 'ark', 'covenant', 'wrote', 'rebellion', 'stiff']"
Vayakhel,"['sockets', 'cubits', 'boards', 'overlaid', 'curtain', 'acaciawood', 'gold', 'curtains', 'pillars', 'brass', 'staves', 'board', 'rings', 'court', 'pure', 'tabernacle', 'hooks', 'loops', 'blue', 'branches']"
Pekudei,"['tabernacle', 'blue', 'ephod', 'linen', 'sockets', 'screen', 'talents', 'court', 'purple', 'breastplate', 'row', 'gold', 'twined', 'rings', 'scarlet', 'woven', 'robe', 'anoint', 'meeting', 'shoulderpieces']"
Tazria,"['skin', 'plague', 'leprosy', 'pronounce', 'scall', 'priest', 'bright', 'hair', 'white', 'warp', 'woof', 'look', 'unclean', 'appearance', 'deeper', 'spot', 'bald', 'clean', 'rising', 'garment']"
Metzora,"['issue', 'cleansed', 'unclean', 'bathe', 'bird', 'priest', 'leprosy', 'impurity', 'plague', 'log', 'clothes', 'running', 'guiltoffering', 'bed', 'toucheth', 'whereon', 'sitteth', 'wash', 'cedarwood', 'uncleanness']"
Achrei Mot,"['nakedness', 'uncover', 'goat', 'atonement', 'azazel', 'blood', 'arkcover', 'sinoffering', 'bullock', 'bathe', 'uncleannesses', 'sins', 'linen', 'meeting', 'sprinkle', 'abominations', 'eateth', 'transgressions', 'kinswoman', 'vomited']"
Kedoshim,"['uncovered', 'molech', 'just', 'nakedness', 'death', 'am', 'profane', 'lie', 'unrighteousness', 'ghosts', 'committeth', 'wifehe', 'neighbour', 'forbidden', 'familiar', 'naked', 'uncles', 'childless', 'astray', 'reap']"
Behar,"['jubilee', 'waxen', 'sold', 'redeem', 'possession', 'settler', 'redemption', 'sell', 'produce', 'year', 'price', 'increase', 'sow', 'rigour', 'hired', 'rich', 'family', 'buy', 'bondmen', 'prune']"
Bechukotai,"['valuation', 'contrary', 'value', 'jubilee', 'paid', 'chase', 'change', 'devoted', 'shekels', 'pursueth', 'desolation', 'bad', 'abhor', 'sins', 'desolate', 'redeem', 'enemies', 'add', 'walk', 'sowing']"
Matot,"['thousand', 'bond', 'her', 'war', 'tribute', 'armed', 'eleazar', 'vows', 'captains', 'bound', 'beeves', 'husband', 'thousands', 'void', 'moses', 'midian', 'prey', 'bonds', 'hundreds', 'cities']"
Masei,"['pitched', 'journeyed', 'refuge', 'murderer', 'tribe', 'inheritance', 'goings', 'cities', 'avenger', 'border', 'manslayer', 'hor', 'prince', 'zelophehad', 'jordan', 'mark', 'line', 'plains', 'death', 'jericho']"
Nitzavim,"['written', 'curse', 'book', 'thy', 'shouldest', 'thee', 'anger', 'curses', 'belong', 'heart', 'commandments', 'us', 'beareth', 'heaven', 'whither', 'fruit', 'hewer', 'drawer', 'godand', 'oathwhich']"
