parsha,repeated words
Tzav,"['הימנית', 'אשר', 'האיל', 'זבח', 'ועל', 'יאכל', 'בניו', 'המזבח', 'את', 'אתו', 'ואת', 'משה', 'קדש', 'אל', 'על']"
Shmini,"['יטמא', 'אשר', 'לכם', 'השרץ', 'המזבח', 'את', 'כי', 'גרה', 'ואת', 'לא', 'יהוה', 'הוא', 'אל', 'על']"
Emor,"['אשר', 'איש', 'בו', 'או', 'יאכל', 'את', 'כי', 'ליהוה', 'לא', 'יהוה', 'קדש', 'אל']"
Bamidbar,"['כל', 'וצבאו', 'ונשיא', 'משפחת', 'בן', 'לבני', 'ישראל', 'ונתנו', 'מאות', 'בגד', 'את', 'ופקדיהם', 'ואת', 'יהוה', 'הלוים', 'אהרן', 'אלף', 'בני']"
Nasso,"['הכהן', 'חמשה', 'כל', 'בן', 'האשה', 'כסף', 'נזרו', 'המים', 'אחד', 'עשר', 'את', 'ואת', 'לא', 'משה', 'יהוה', 'עשרה', 'שנים', 'אל', 'על']"
Beha'alotcha,"['להם', 'כל', 'לי', 'ועל', 'העם', 'בן', 'המשכן', 'יסעו', 'ולא', 'יחנו', 'ישראל', 'את', 'מטה', 'משה', 'יהוה', 'הענן', 'הלוים', 'צבא', 'אתם', 'אל', 'על', 'בני', 'פי']"
Sh'lach,"['למטה', 'אשר', 'אם', 'או', 'בן', 'ההין', 'את', 'הארץ', 'כי', 'ליהוה', 'אתו', 'יהוה', 'הוא', 'אל']"
Korach,"['לך', 'כל', 'אשר', 'יהיה', 'בכור', 'ישראל', 'העדה', 'את', 'מטה', 'משה', 'יהוה', 'אל', 'בני']"
Chukat,"['הכהן', 'העם', 'או', 'ישראל', 'את', 'הסלע', 'משה', 'אהרן', 'אל']"
Balak,"['האתון', 'אשר', 'ויאמר', 'מלאך', 'ולא', 'ישראל', 'בלעם', 'את', 'כי', 'לא', 'בלק', 'יהוה', 'אל']"
Pinchas,"['האחד', 'אין', 'לו', 'משפחת', 'בן', 'למשפחתם', 'אחד', 'מאות', 'אלה', 'עשר', 'את', 'יהוה', 'אל', 'תעשו', 'בני']"
Devarim,"['כל', 'אשר', 'ולא', 'את', 'יהוה']"
Vaetchanan,"['כל', 'אשר', 'תבנית', 'אלהיך', 'ולא', 'ישראל', 'את', 'כי', 'לא', 'יהוה']"
Eikev,"['לך', 'אשר', 'הלחת', 'אלהיך', 'ארץ', 'את', 'ואת', 'לא', 'יהוה', 'אל', 'על', 'עשה']"
Re'eh,"['תאכלו', 'כל', 'אשר', 'לו', 'או', 'אלהיך', 'ולא', 'את', 'כי', 'ואת', 'לא', 'יהוה']"
Shoftim,"['לך', 'אשר', 'או', 'אלהיך', 'את', 'כי', 'לא', 'יהוה', 'אל']"
Ki Teitzei,"['לך', 'אשר', 'לו', 'אלהיך', 'את', 'כי', 'האיש', 'יבא', 'אחיך', 'בקהל', 'לא', 'יהוה', 'על']"
Ki Tavo,"['לך', 'בכל', 'כל', 'אשר', 'העם', 'אמן', 'אלהיך', 'אתה', 'ולא', 'את', 'כי', 'ארור', 'לא', 'יהוה', 'ואמר']"
Vayeilech,"['כל', 'יהוה', 'אשר', 'את', 'כי']"
Vayakhel,"['האחד', 'כל', 'אחת', 'אשר', 'וחצי', 'וכל', 'נחשת', 'המשכן', 'כסף', 'אדנים', 'זהב', 'הביאו', 'את', 'ואדניהם', 'החצר', 'ויעש', 'היריעה', 'הקרש', 'ואת', 'קרשים', 'ממנה', 'על', 'עשה', 'הקנים', 'תחת']"
Pekudei,"['ויתן', 'אדני', 'מועד', 'ומשחת', 'הקדש', 'המשכן', 'אהל', 'זהב', 'שתי', 'מאות', 'את', 'האפד', 'אתו', 'ואת', 'שש', 'ככר', 'משה', 'יהוה', 'החשן', 'על']"
Tazria,"['הכהן', 'או', 'הנגע', 'הוא', 'הנתק', 'בעור', 'את', 'אל']"
Metzora,"['הכהן', 'ורחץ', 'הימנית', 'יטמא', 'אשר', 'הערב', 'השמן', 'מן', 'וכל', 'הבית', 'הנגע', 'עליו', 'בגדיו', 'הזב', 'בבית', 'עד', 'נדתה', 'את', 'וטמא', 'במים', 'ואת', 'אל', 'על']"
Achrei Mot,"['כל', 'אשר', 'נפש', 'אני', 'תגלה', 'הכפרת', 'אביך', 'את', 'הארץ', 'הגר', 'השעיר', 'ואת', 'בת', 'לא', 'יהוה', 'אמך', 'הוא', 'אל', 'על', 'ערות']"
Kedoshim,"['ואיש', 'אשר', 'אני', 'ולא', 'מות', 'את', 'לא', 'יהוה']"
Behar,"['אשר', 'או', 'עמך', 'את', 'כי', 'לא']"
Bechukotai,"['הכהן', 'שקלים', 'ערכך', 'ואף', 'את', 'ליהוה', 'ואם', 'אתכם', 'והיה', 'השדה']"
Matot,"['כל', 'אשר', 'מן', 'וכל', 'מאות', 'אביה', 'נפשה', 'את', 'הארץ', 'אישה', 'ואת', 'אסרה', 'משה', 'יהוה', 'ושלשים', 'אלף', 'על']"
Masei,"['אשר', 'לכם', 'הערים', 'ויסעו', 'וימת', 'או', 'בן', 'ולמטה', 'ישראל', 'הרצח', 'את', 'נשיא', 'הארץ', 'תתנו', 'ויחנו', 'ואת', 'מטה', 'הוא', 'והיה', 'בני']"
Nitzavim,"['אשר', 'אלהיך', 'היום', 'את', 'כי', 'יהוה']"
