parsha,most relevant words
Emor,"['מום', 'מקרא', 'והקרבתם', 'מועדי', 'תקריבו', 'הקדשים', 'מלאכת', 'עבדה', 'יאכל', 'אלהיו', 'יטמא', 'בעמיו', 'יחללו', 'ובת', 'יחלל', 'מקדשם', 'תקראו', 'מקראי', 'ומלבד', 'או']"
Bamidbar,"['אלף', 'תולדתם', 'וצבאו', 'ונשיא', 'במספר', 'למשפחתם', 'פקדיהם', 'מבן', 'ומעלה', 'אבתם', 'מאות', 'ופקדיהם', 'לבית', 'לצבאתם', 'צבא', 'הלוים', 'וחמשים', 'המשכן', 'יחנו', 'לבני']"
Nasso,"['חמשה', 'קערת', 'נזרו', 'משקלה', 'מזרק', 'עתדים', 'שנתו', 'ומאה', 'ולזבח', 'השלמים', 'מלאה', 'כבש', 'קרבנו', 'אילם', 'כבשים', 'למנחה', 'בשקל', 'שקל', 'אחת', 'לחטאת']"
Beha'alotcha,"['ונסעו', 'הלוים', 'הענן', 'המשכן', 'יסעו', 'יחנו', 'צבא', 'הפסח', 'הרוח', 'מטה', 'משה', 'לצבאתם', 'מרים', 'דגל', 'המחנות', 'יתקעו', 'ותקעתם', 'מחנה', 'צבאו', 'במשה']"
Sh'lach,"['למטה', 'לתור', 'ההין', 'העדה', 'לנסך', 'ניחח', 'בשגגה', 'יושב', 'תרימו', 'ריח', 'והכנעני', 'משה', 'נון', 'יפנה', 'ויין', 'האזרח', 'ונסלח', 'כלב', 'ויתרו', 'הענק']"
Korach,"['קרח', 'מטה', 'ואבירם', 'תרומת', 'העדה', 'מחתתו', 'לוי', 'מחתות', 'כהנתכם', 'נתתים', 'אהל', 'תפדה', 'משה', 'אהרן', 'עבדת', 'מועד', 'דתן', 'המתים', 'ולבניך', 'קטרת']"
Chukat,"['הסלע', 'הפרה', 'במת', 'האמרי', 'יתחטא', 'אדום', 'מואב', 'בגדיו', 'ארנון', 'סיחן', 'ההר', 'ויחנו', 'יטמא', 'נעבר', 'נשתה', 'הערב', 'וטמא', 'ארצו', 'ורחץ', 'נדה']"
Balak,"['בלק', 'בלעם', 'האתון', 'משלו', 'מואב', 'מלאך', 'וישא', 'קבה', 'מזבחת', 'עדי', 'בזה', 'נצב', 'אדבר', 'במזבח', 'נאם', 'אוכל', 'ויאמר', 'לכה', 'שרי', 'בפי']"
Pinchas,"['משפחת', 'התמיד', 'תמימם', 'כבשים', 'ושעיר', 'למשפחתם', 'עשרנים', 'ונסכיהם', 'ומנחתם', 'פרים', 'עלת', 'ומנחתה', 'ולכבשים', 'במספרם', 'לפר', 'לאיל', 'עשרון', 'לפרים', 'לאילם', 'לכבש']"
Devarim,"['אלהינו', 'הבשן', 'בשעיר', 'הישבים', 'נחל', 'בעת', 'עוג', 'הגלעד', 'ירשה', 'תחתם', 'האמרי', 'עמון', 'ותאמרו', 'רפאים', 'יקראו', 'ארנן', 'רש', 'ונפן', 'ונעבר', 'לפנים']"
Vaetchanan,"['אלהיך', 'אלהינו', 'תבנית', 'האש', 'צוך', 'הירדן', 'מתוך', 'חקים', 'ומשפטים', 'תמונת', 'והחקים', 'ייטב', 'והמשפטים', 'קול', 'העמים', 'פעור', 'גוי', 'החקים', 'פסל', 'לרשתה']"
Eikev,"['אלהיך', 'הלחת', 'לוחת', 'הנטויה', 'להשמיד', 'בלבבך', 'נשבע', 'הייתם', 'וידעת', 'הוצאת', 'לבבכם', 'ארבעים', 'לבבך', 'לאבתיכם', 'ושבעת', 'תשכח', 'לאהבה', 'מהר', 'הברית', 'לאבתיך']"
Re'eh,"['אלהיך', 'יבחר', 'בשעריך', 'והלוי', 'תאכלו', 'תאכלנו', 'יברכך', 'אלהיכם', 'ושמחת', 'לשכן', 'ידך', 'ובכרת', 'והטהור', 'תשפכנו', 'והיתום', 'והאלמנה', 'אביון', 'תשלחנו', 'תאכל', 'ועבדך']"
Shoftim,"['אלהיך', 'הנביא', 'לביתו', 'השטרים', 'במלחמה', 'החלל', 'העגלה', 'עדים', 'ובערת', 'שעריך', 'שנא', 'ילך', 'בשם', 'לך', 'ירבה', 'הרע', 'ומת', 'יבחר', 'לבבו', 'להלחם']"
Ki Teitzei,"['[הנערה]', 'בקהל', 'אלהיך', 'הנער', 'ובערת', 'והוציאו', 'בתולים', 'בצאתכם', 'תשיך', 'ושלחה', 'מביתו', 'יבמתו', 'ושכב', 'יבא', 'לאשה', 'עירו', 'ימצא', 'יומתו', 'ליתום', 'ולאלמנה']"
Ki Tavo,"['ארור', 'אמן', 'אלהיך', 'ופרי', 'השמדך', 'יככה', 'פרי', 'בקול', 'והיית', 'אדמתך', 'עליך', 'רגלך', 'ובמצוק', 'יציק', 'ועבדת', 'ואמר', 'תשמע', 'בטנך', 'ארצך', 'גוי']"
Vayeilech,"['השירה', 'לעד', 'יעזבך', 'וצרות', 'התורה', 'ארון', 'ירפך', 'ואמץ', 'והפר', 'מותי', 'אביאנו', 'נשבעתי', 'יהושע', 'באזניהם', 'רעות', 'רבות', 'הזאת', 'תמם', 'ויכתב', 'ויצו']"
Vayakhel,"['זהב', 'שטים', 'ויעש', 'ויצף', 'היריעה', 'המשכן', 'עצי', 'החצר', 'הקרש', 'נחשת', 'הביאו', 'ואדניהם', 'אדנים', 'לעשת', 'באמה', 'וחצי', 'ללאת', 'הקרשים', 'קרשים', 'הקנים']"
Pekudei,"['האפד', 'המשכן', 'החשן', 'החצר', 'זהב', 'ותולעת', 'משזר', 'תכלת', 'צוה', 'ויעשו', 'כתפת', 'ככר', 'וארגמן', 'ומשחת', 'מועד', 'מסך', 'המעיל', 'וקדשת', 'הזהב', 'אהל']"
Tazria,"['הנגע', 'צרעת', 'בעור', 'הנתק', 'הכהן', 'פשה', 'העור', 'בהרת', 'נגע', 'בבגד', 'וראה', 'או', 'וראהו', 'כהה', 'עמק', 'לבן', 'לבנה', 'הפך', 'בשתי', 'והסגירו']"
Metzora,"['המטהר', 'הימנית', 'ורחץ', 'הכהן', 'הזב', 'הבית', 'השמן', 'הערב', 'הצפר', 'וטמא', 'בגדיו', 'הנגע', 'יטמא', 'נדתה', 'יכבס', 'במים', 'וכבס', 'בבית', 'האשם', 'השמאלית']"
Achrei Mot,"['תגלה', 'ערות', 'השעיר', 'ערותה', 'ובעד', 'לעזאזל', 'לגלות', 'הכפרת', 'החטאת', 'ורחץ', 'וכפר', 'בעדו', 'אביך', 'מולדת', 'הגר', 'אמך', 'בד', 'דמו', 'יכפר', 'בשרו']"
Kedoshim,"['יומתו', 'דמיהם', 'ישכב', 'ואיש', 'גלה', 'מזרעו', 'חקתי', 'צדק', 'כלאים', 'פריו', 'זמה', 'אלהיכם', 'ערות', 'מות', 'אני', 'פאת', 'והכרתי', 'תפנו', 'חפשה', 'האבת']"
Behar,"['גאלתו', 'שנת', 'ממכרו', 'תבואתה', 'ממכר', 'גאלה', 'ימוך', 'יגאלנו', 'השנים', 'היבל', 'יובל', 'היובל', 'מקנתו', 'ויראת', 'מאלהיך', 'ביבל', 'בפרך', 'אחזתו', 'יגאל', 'תזמר']"
Bechukotai,"['ערכך', 'יגאל', 'איביכם', 'יקדיש', 'בקרי', 'ואף', 'בריתי', 'לחמכם', 'ונפלו', 'קרי', 'שבתתיה', 'איביהם', 'ולנקבה', 'שקלים', 'אחזתו', 'ואם', 'היבל', 'ונתתי', 'חטאתיכם', 'הזכר']"
Matot,"['אלף', 'נפשה', 'אסרה', 'אסר', 'אישה', 'נדריה', 'המלקוח', 'האלפים', 'הצבא', 'לצבא', 'המאות', 'ואלעזר', 'משה', 'ואסרה', 'נדרה', 'הניא', 'יסלח', 'שפתיה', 'בזזו', 'ומכסם']"
Masei,"['ויחנו', 'ויסעו', 'הרצח', 'ולמטה', 'תהיינה', 'מקלטו', 'רצח', 'תתנו', 'מטה', 'לנשים', 'נשיא', 'הערים', 'תוצאתיו', 'נחלתן', 'פאת', 'ללוים', 'גאל', 'בערבת', 'הגבול', 'הכהו']"
Nitzavim,"['אלהיך', 'הכתובה', 'לבבך', 'בספר', 'וישמענו', 'ונעשנה', 'מצוך', 'מצותיו', 'היום', 'והקללה', 'ובפרי', 'אלהינו', 'כרת', 'לאהבה', 'וחקתיו', 'ויקחה', 'בכם', 'נפשך', 'הגוים', 'הברכה']"
