parsha,most relevant words
Beha'alotcha,"['levites', 'blow', 'cloud', 'host', 'alarm', 'forward', 'meat', 'passover', 'moshe', 'tabernacle', 'miryam', 'journeyed', 'encamped', 'camp', 'journey', 'trumpets', 'standard', 'service', 'cleanse', 'camps']"
Sh'lach,"['spy', 'ignorance', 'tribe', 'offering', 'congregation', 'kalev', 'hin', 'spied', 'forgiven', 'wilderness', 'savour', 'moshe', 'anaq', 'amaleqi', 'yefunne', 'nun', 'sojourns', 'murmur', 'cluster', 'performing']"
Korach,"['qoraĥ', 'gift', 'censers', 'rod', 'datan', 'aviram', 'censer', 'rods', 'congregation', 'service', 'thine', 'aharon', 'moshe', 'incense', 'company', 'theirs', 'levi', 'meeting', 'firstling', 'inheritance']"
Chukat,"['unclean', 'siĥon', 'sprinkling', 'arnon', 'heifer', 'hor', 'ĥeshbon', 'purify', 'edom', 'moav', 'highway', 'serpent', 'emori', 'rock', 'touches', 'border', 'we', 'congregation', 'fought', 'aharon']"
Balak,"['balaq', 'bilam', 'discourse', 'moav', 'żippor', 'ass', 'curse', 'angel', 'princes', 'lion', 'promote', 'bilams', 'struck', 'said', 'altars', 'speech', 'wall', 'utmost', 'yaaqov', 'denounce']"
Pinchas,"['family', 'offering', 'lambs', 'continual', 'families', 'meal', 'bullocks', 'numbered', 'measures', 'tenth', 'drink', 'blemish', 'ram', 'rams', 'fourteen', 'servile', 'savour', 'flour', 'thousand', 'offerings']"
Devarim,"['bashan', 'seir', 'wadi', 'siĥon', 'esav', 'refaim', 'we', 'og', 'cities', 'ammon', 'ĥeshbon', 'dwelt', 'anaqim', 'arnon', 'gilad', 'contend', 'succeeded', 'argov', 'us', 'emori']"
Vaetchanan,"['likeness', '', 'statutes', 'thy', 'carved', 'judgments', 'possess', 'testimonies', 'thee', 'yarden', 'commandments', 'god', 'teach', 'voice', 'forget', 'idol', 'might', 'our', 'heaven', 'mountain']"
Eikev,"['tablets', 'thy', 'possess', 'nights', 'mountain', 'terrible', 'thee', 'forty', 'commandments', 'quickly', 'swore', 'love', 'stiffnecked', 'rain', 'mighty', 'drive', 'destroyed', 'destroy', 'heart', 'prove']"
Re'eh,"['thy', 'choose', 'gates', 'deer', 'meat', 'levite', 'release', 'rejoice', 'owl', 'thee', 'gazelle', 'eat', 'cud', 'observe', 'hoof', 'god', 'gods', 'gives', 'feast', 'vows']"
Shoftim,"['gives', 'witnesses', 'sentence', 'prophet', 'battle', 'thee', 'thy', 'ravine', 'cities', 'controversy', 'city', 'gates', 'judges', 'slayer', 'innocent', 'heifer', 'plea', 'stroke', 'axe', 'nearest']"
Ki Teitzei,"['girl', 'her', 'interest', 'pledge', 'divers', 'thy', 'wife', 'husbands', 'husband', 'slave', 'beloved', 'tokens', 'girls', 'virgin', 'betrothed', 'enter', 'city', 'hated', 'brothers', 'worthy']"
Ki Tavo,"['amen', 'cursed', 'thy', 'fruit', 'thee', 'distress', 'commandments', 'siege', 'towards', 'ways', 'destroyed', 'basket', 'lies', 'gates', 'voice', 'overtake', 'sole', 'body', 'tithing', 'avouched']"
Vayeilech,"['evils', 'poem', 'forsake', 'courage', 'troubles', 'yehoshua', 'mouths', 'witness', 'tora', 'fail', 'learn', 'befall', 'ark', 'provoke', 'moshe', 'covenant', 'wrote', 'strong', 'dismayed', 'inclination']"
Vayakhel,"['sockets', 'cubits', 'curtain', 'boards', 'overlaid', 'pillars', 'gold', 'shittim', 'poles', 'rings', 'board', 'curtains', 'branches', 'tabernacle', 'brass', 'court', 'pure', 'hooks', 'wisehearted', 'coupled']"
Pekudei,"['tabernacle', 'efod', 'blue', 'sockets', 'linen', 'talents', 'court', 'purple', 'breastplate', 'screen', 'rings', 'gold', 'twined', 'scarlet', 'row', 'robe', 'anoint', 'ark', 'meeting', 'fixtures']"
Tazria,"['skin', 'plague', 'pronounce', 'żaraat', 'patch', 'white', 'priest', 'deeper', 'bald', 'warp', 'woof', 'unclean', 'somewhat', 'hair', 'spot', 'bright', 'look', 'appearance', 'spread', 'dimmer']"
Metzora,"['issue', 'unclean', 'cleansed', 'bathe', 'priest', 'running', 'log', 'żaraat', 'plague', 'offering', 'guilt', 'touches', 'bird', 'clothes', 'bed', 'evening', 'menstruation', 'wash', 'uncleanness', 'clean']"
Achrei Mot,"['nakedness', 'uncover', 'goat', 'atonement', 'azazel', 'blood', 'bathe', 'bullock', 'offering', 'linen', 'sprinkle', 'sins', 'meeting', 'eats', 'kinswoman', 'abominations', 'covering', 'lot', 'defile', 'offer']"
Kedoshim,"['nakedness', 'uncovered', 'molekh', 'just', 'am', 'lie', 'unrighteousness', 'mediums', 'wizards', 'commits', 'death', 'lies', 'neighbour', 'childless', 'guilt', 'astray', 'reap', 'profane', 'adultery', 'uncover']"
Behar,"['jubilee', 'redeem', 'sold', 'possession', 'price', 'year', 'increase', 'sojourner', 'sow', 'grows', 'redemption', 'rule', 'rigour', 'bondmen', 'family', 'sell', 'buy', 'years', 'prune', 'undressed']"
Bechukotai,"['estimation', 'contrary', 'jubilee', 'value', 'dedicate', 'desolate', 'shekels', 'change', 'redeem', 'enemies', 'pursues', 'bad', 'abhor', 'walk', 'devoted', 'chase', 'sins', 'sabbaths', 'yield', 'enjoy']"
Matot,"['bond', 'armed', 'thousand', 'war', 'beef', 'her', 'elazar', 'tribute', 'captains', 'husband', 'vows', 'bound', 'vow', 'herself', 'battle', 'moshe', 'midyan', 'thousands', 'bonds', 'disallowed']"
Masei,"['pitched', 'refuge', 'murderer', 'inheritance', 'tribe', 'encamped', 'removed', 'cities', 'revenger', 'border', 'departed', 'limits', 'hor', 'slayer', 'prince', 'spaces', 'żelofĥad', 'plains', 'yarden', 'yereĥo']"
Nitzavim,"['written', 'thy', 'curses', 'heart', 'book', 'thee', 'shouldst', 'belong', 'anger', 'nations', 'heaven', 'bears', 'gods', 'hewer', 'drawer', 'turns', 'root', 'wormwood', 'stubborness', 'drunkenness']"
